-3.0	-1.55635
-2.9	-1.21128
-2.8	-0.872628
-2.7	-0.648833
-2.6	-0.561565
-2.5	-0.551724
-2.4	-0.534369
-2.3	-0.460394
-2.2	-0.342417
-2.1	-0.231924
-2.0	-0.171002
-1.9	-0.158136
-1.8	-0.153018
-1.7	-0.112951
-1.6	-0.0290011
-1.5	0.0679674
-1.4	0.135458
-1.3	0.157405
-1.2	0.159696
-1.1	0.189282
-1.0	0.273501
-0.9	0.39387
-0.8	0.49857
-0.7	0.547009
-0.6	0.552087
-0.5	0.583732
-0.4	0.724375
-0.3	1.00411
-0.2	1.36228
-0.1	1.6673
0.0	1.7873
0.1	1.6673
0.2	1.36228
0.3	1.00411
0.4	0.724375
0.5	0.583732
0.6	0.552087
0.7	0.547009
0.8	0.49857
0.9	0.39387
1.0	0.273501
1.1	0.189282
1.2	0.159696
1.3	0.157405
1.4	0.135458
1.5	0.0679674
1.6	-0.0290011
1.7	-0.112951
1.8	-0.153018
1.9	-0.158136
2.0	-0.171002
2.1	-0.231924
2.2	-0.342417
2.3	-0.460394
2.4	-0.534369
2.5	-0.551724
2.6	-0.561565
2.7	-0.648833
2.8	-0.872628
2.9	-1.21128
3.0	-1.55635
3.1	-1.76583
3.2	-1.74525
3.3	-1.5041
3.4	-1.1501
3.5	-0.825161
3.6	-0.625423
3.7	-0.556861
3.8	-0.551384
3.9	-0.526308
4.0	-0.442476
4.1	-0.321786
4.2	-0.217626
4.3	-0.166237
4.4	-0.158106
4.5	-0.149522
4.6	-0.10148
4.7	-0.0123735
4.8	0.0823182
4.9	0.142129
5.0	0.157944
5.1	0.161553
5.2	0.199511
5.3	0.292396
5.4	0.4141
5.5	0.511115
5.6	0.549571
5.7	0.553111
5.8	0.597956
5.9	0.762146
6.0	1.06184
6.1	1.42133
6.2	1.70321
6.3	1.78377
6.4	1.62596
6.5	1.30172
6.6	0.948785
6.7	0.690763
6.8	0.572718
6.9	0.551779
7.0	0.543073
